Class,A1x_1,A1y_1,A1z_1,G1x_1,G1y_1,G1z_1,A2x_1,A2y_1,A2z_1,G2x_1,G2y_1,G2z_1,A3x_1,A3y_1,A3z_1,G3x_1,G3y_1,G3z_1,A4x_1,A4y_1,A4z_1,G4x_1,G4y_1,G4z_1,A1x_2,A1y_2,A1z_2,G1x_2,G1y_2,G1z_2,A2x_2,A2y_2,A2z_2,G2x_2,G2y_2,G2z_2,A3x_2,A3y_2,A3z_2,G3x_2,G3y_2,G3z_2,A4x_2,A4y_2,A4z_2,G4x_2,G4y_2,G4z_2
Calcio,-9.0723,5.5564,-4.7661,-3.7972,9.8067,2.6959,-11.3916,-2.7198,-6.0908,1.2498,9.2847,-2.6767,-1.7757,-1.1174,1.2611,-0.2049,-0.7306,-0.0309,1.4857,1.6107,-0.166,0.2496,0.1006,-0.2075,-9.9585,6.5145,-0.1054,1.1205,10.6686,2.8683,-6.5122,-6.1387,-5.2002,-0.9194,9.6486,-6.1196,-0.9535,0.8397,1.4644,0.1415,-1.3345,0.1304,-0.4496,1.5421,-0.016,0.3416,0.1948,-0.0351
Calcio,-9.9585,6.5145,-0.1054,1.1205,10.6686,2.8683,-6.5122,-6.1387,-5.2002,-0.9194,9.6486,-6.1196,-0.9535,0.8397,1.4644,0.1415,-1.3345,0.1304,-0.4496,1.5421,-0.016,0.3416,0.1948,-0.0351,-4.4835,6.5911,2.3375,1.3695,10.6255,1.8914,-6.3925,-4.4867,-5.2337,-1.0391,9.165,-5.114,0.2299,-0.9663,1.1105,0.0426,-0.2911,0.058,-2.9032,3.0245,-0.1144,0.1618,0.5028,-0.2293
Calcio,-4.4835,6.5911,2.3375,1.3695,10.6255,1.8914,-6.3925,-4.4867,-5.2337,-1.0391,9.165,-5.114,0.2299,-0.9663,1.1105,0.0426,-0.2911,0.058,-2.9032,3.0245,-0.1144,0.1618,0.5028,-0.2293,-9.5082,7.0893,1.9064,0.0718,8.4036,1.4844,-1.7621,1.8196,-7.3837,1.7286,8.3893,-3.0119,0.4629,-1.1733,1.2313,0.397,0.4613,-0.0793,-4.2085,2.7505,-1.2015,0.174,-0.6082,0.3177
Calcio,-9.5082,7.0893,1.9064,0.0718,8.4036,1.4844,-1.7621,1.8196,-7.3837,1.7286,8.3893,-3.0119,0.4629,-1.1733,1.2313,0.397,0.4613,-0.0793,-4.2085,2.7505,-1.2015,0.174,-0.6082,0.3177,-6.6342,8.2149,0.2203,-0.8332,8.0828,0.4884,-6.0717,3.4237,-10.3238,1.5754,8.4563,-4.6591,0.9041,0.141,0.796,0.0947,-0.2506,-0.1634,-3.7184,-0.4901,0.7615,0.2559,-0.3038,0.0851
Calcio,-6.6342,8.2149,0.2203,-0.8332,8.0828,0.4884,-6.0717,3.4237,-10.3238,1.5754,8.4563,-4.6591,0.9041,0.141,0.796,0.0947,-0.2506,-0.1634,-3.7184,-0.4901,0.7615,0.2559,-0.3038,0.0851,-4.2488,9.1538,0.9149,-1.0582,9.5146,2.6288,2.3367,7.015,-7.671,0.4166,8.6574,-5.636,0.538,-0.5167,0.3863,-0.0032,-0.0899,-0.0548,-2.1519,1.6937,-0.2895,0.2134,-0.1373,0.1564
Calcio,-4.2488,9.1538,0.9149,-1.0582,9.5146,2.6288,2.3367,7.015,-7.671,0.4166,8.6574,-5.636,0.538,-0.5167,0.3863,-0.0032,-0.0899,-0.0548,-2.1519,1.6937,-0.2895,0.2134,-0.1373,0.1564,-5.1876,9.2352,0.5988,0.3783,9.9455,1.2067,-2.3655,9.6199,-4.9847,0.6512,8.2983,-6.3829,0.8418,-0.7194,0.8391,-0.1783,-0.4129,0.1373,-1.9422,-0.0367,0.1575,0.133,0.0607,0.0958
Calcio,-5.1876,9.2352,0.5988,0.3783,9.9455,1.2067,-2.3655,9.6199,-4.9847,0.6512,8.2983,-6.3829,0.8418,-0.7194,0.8391,-0.1783,-0.4129,0.1373,-1.9422,-0.0367,0.1575,0.133,0.0607,0.0958,-5.7097,8.5598,-2.3471,0.2059,9.6199,1.336,-1.9249,9.9647,-8.0062,0.8475,8.4084,-5.928,1.4511,-0.563,-0.3342,-0.008,-0.2267,0.1623,0.9754,-0.8987,0.2975,-0.017,-0.0708,0.1937
Fine,-5.7097,8.5598,-2.3471,0.2059,9.6199,1.336,-1.9249,9.9647,-8.0062,0.8475,8.4084,-5.928,1.4511,-0.563,-0.3342,-0.008,-0.2267,0.1623,0.9754,-0.8987,0.2975,-0.017,-0.0708,0.1937,-2.4765,9.7477,-1.8729,0.565,9.821,1.0199,-1.3838,9.3613,-5.1954,0.7422,7.7955,-6.3351,1.4479,0.7854,0.5646,0.0654,0.1027,-0.0027,0.0665,0.0426,0.2405,-0.1309,-0.0532,0.2762
Inizio,-0.5844,9.6663,1.825,3.9265,6.5314,2.1069,1.3408,8.5952,-5.6072,-19.6037,10.9271,-0.7422,0.3336,1.2148,-0.1235,-0.4938,0.7237,0.2405,-0.0617,1.085,-0.6029,0.299,5.1466,-6.0373,-4.881,10.2651,9.1969,2.6815,9.3422,4.1946,-2.0399,10.2999,-2.4756,10.3238,23.5398,4.7692,-1.5389,4.5911,-1.9151,-0.4736,1.4457,1.2441,-0.1554,0.5757,-0.6896,0.0851,-2.7547,3.1107
Calcio,-4.881,10.2651,9.1969,2.6815,9.3422,4.1946,-2.0399,10.2999,-2.4756,10.3238,23.5398,4.7692,-1.5389,4.5911,-1.9151,-0.4736,1.4457,1.2441,-0.1554,0.5757,-0.6896,0.0851,-2.7547,3.1107,2.3759,4.7278,12.6744,-3.6536,7.4891,6.5266,-6.2968,19.5271,9.4763,-8.9926,0.8188,-5.8562,-6.2624,1.4128,-1.9566,0.3427,2.4083,1.0738,1.7198,0.5406,-1.5421,0.8732,-0.2985,-1.9129
